 今夜17日 ,北東の風 後 東の風 くもり 所により 夜のはじめ頃 まで 雨波 ０．５メートル,  00-06 --%   06-12 --%   12-18 --%   18-24 20%  ,    
 明日18日 ,南西の風 晴れ 夜 くもり波 ０．５メートル,  00-06 0%   06-12 0%   12-18 0%   18-24 0%  ,   朝の最低 日中の最高   神戸 13度 21度   洲本 10度 23度   姫路 9度 22度  
 明後日19日 ,北の風 くもり波 ０．５メートル,                  ,  
 今夜17日 ,南の風 くもり 夜のはじめ頃 晴れ波 ０．５メートル,  00-06 --%   06-12 --%   12-18 --%   18-24 10%  ,    
 明日18日 ,南の風 日中 北の風 海上 では 後 西の風 やや強く 晴れ 夕方 から くもり波 ０．５メートル 後 １メートル,  00-06 0%   06-12 0%   12-18 0%   18-24 0%  ,   朝の最低 日中の最高   豊岡 8度 25度  
 明後日19日 ,北の風 くもり 一時 雨波 １．５メートル 後 ２メートル,                  ,  
